Anlägningens nr å karten,Socken eller landskommun (stad),Anlägningens namn,ägare,"Energien erhålles från egen kraftstation av följande typ och storlek, medelst abonnement fran nedanståene företag. Kraftmaskiner system",Sammanlegd effekt hkr,Utbyggd fallhöjd,Strömart och periodtal,Spänning volt,Sammanlegd effekt kVA,Alstrad energi kWh,Sammanlegd primar transformator effekt kVA,Distributionsledningar Klass,Distributionsledningar spänning volt,Sammanlagd längd km,Sammanlagd sekundär transformatoreffekt excl abonnenternas egna transformatorer,"Sammanlagd anslutning av motorer, lampor",Sammanlagd komsumtion inkl förluster,Elektrifierad areal odlad jord med blott belysning,Elektrifierad areal odlad jord total,Anmärkningar,Nummer
23,Jämshög,Olofströms kraftstation,Sv. stålpressnings AB,Vattenturbin,480,18.5-19,Trefas 50,,407,1100000,170,Orts,3000,29,130,659,1100000,755,1090,,
23,Jämshög,,Olofström,Oljemotor,120,,Trefas 50,,88,,,Bygde,"380, 220",39,,,,,,,
24,Gammelstorp,,Näsums elektr. kraft AB,Kraftstationen samt delen av distributionsnätet beläget i Kristianstads län,,,,,,,,Orts,6000,27,75,100,12000,400,600,,
,,,,,,,,,,,,Gårdes-,380,,,,,,,,
25,Mörrum,Skerpinge,John Bengtsson,Vattenturbin,15,Ledingsnätet uppgått i Näsums Elektriska Kraft AB ledningsnät,,,,,,,,,,,,,,,
26,Ringmåla,Suskull,Karlshamns Yllef AB,Vattenturbin,120,3,Trefas 50,400,160,150000,,Gårdes-,380,,,105,150000,6,6,,
27,Asarum,Bergfors,AB Svenska Metallverken,,30,5,Likström,220,19,28000,,Gårdes-,220,,,28,28000,,30,,
28,öljehult,Bergfors,Belganets kraft AB,Vattenturbin,20,3.6,Trefas 50,400,20,5000,10,Orts,6000,5,6,13,5000,282,312,,
,,,,,,,,,,,,Gårdes-,380,,,,,,,,
29,Barkaryd och Eringsboda,,Fagersfors Gjuteri och mekanisk verkstad,Kraftstationen beläggen i Kronobergs län,,,,,,,,Bygde,10000,40,108,120,40000,600,1200,,
,,,,,,,,,,,,Orts,1500,2,,,,,,,
,,,,,,,,,,,,Gårdes-,"380, 220",20,,,,,,,
30,Hjortsberga,Djurtop,HJ Gustafsson,Vattenturbin,9,2,Trefas 50,1500,6,1000,,Orts,1500,1.5,8,8,1000,40,40,,
,,,,,85,6,Likström,500,60,60000,,Gårdes-,220,1.5,,,,,,,
31,Tving,Alnaryds kvarn,Emil Pettersson,ångmaskin,100,,,,60,,,Gårdes-,500,,,33,60000,40,40,,
32,Tving,Yabrofallet,S E Brunberg,Vattenturbin,16,3.3,Likström,2 X 220,16,10000,,Gårdes-,2 X 220,5,,23,10000,100,200,,
,,,,ångmaskin,8,,,,,,,,,,,,,,,,
33,Tving,,Bergs m. fl. byars belysningsfören,Vattenturbin,25,7.3,Likström,2 X 220,16,6000,,Gårdes-,2 X 220,,,15,,,,,
34,Nättraby,Marielund,S Hellerström,Vattenturbin,25,2.6,Likström,220,20,5000,,Gårdes-,220,1,,21,5000,,170,,
35,Nättraby,Marielund,Nättraby Läderfabrik,Vattenturbin,65,,Likström,220,50,100000,,Gårdes-,220,,,35,100000,,5,,
36,Rödeby,Rödebyholm,A Danielsson,Vattenturbin,35,8,Likström,2 X 220,19,5000,,Gårdes-,2 X 220,,,6,5000,112,212,,
37,Angerum,Bubbetorp,G Bergströms sterbhus,Vattenturbin,25,8,Likström,2 X 220,14,4000,,Gårdes-,2 X 220,1,,7,4000,,167,,
38,Angerum,Lyckeåborg,Lyckeåborgs spikfabrik,Vattenturbin,7,4-4.5,Likström,220,5,6000,,Gårdes-,220,,,10,6000,30,30,,
