"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"1","Stockholms stads el.-verk","Söderfors","Untra","V","12.4","30 000","3- fas","25","100000","","-","","","","","-","-",""
"2","Alvkarleby kraftverk Ostan& El. A.-B., Västan&,","Alvkarleby","Alvkarleby","","167-17:9","50000","","50","70000/20000/3000","","-","-","","-","-","","",""
"3","Södra el. distr.-fören., Norra el. distr.-fören. och Alvkarleo el. distr.-fören.","","Ab. frân Alvkarleby kraftverk","-","-","","","50","3000/220","","","","19","53","6","78","53","36 902"
"4","Gardskärs El. A.-B.","",">>","-","","","""","50","3000/220","","3","20","6","17","-","23","100","8 346"
"5","Overboda el. distr.-fören. o. Bodarnas bel.-fören.","","","-","","","","50","3000/220","","2","6","2","4","- -","6","200 -","2 988"
"6","Söderfors Bruks A.-B., Skut- skär 1","","","-","","","",NA,NA,NA,"1","25","26","50",NA,"76",NA,"29114"
"7","Vesslands el. and.-fören.","Vessland","","","","","""","50","20000/190","","7","6200","4580","182","1 621","6 383","-",""
"8","Karlholms bruk","","Carlholms kraftstation","V","","","L","50","20000/3000/220","90","20 -","141","300 .","104 .","13","417","2 730","97 980 ."
"9","Oster-Lovsta El. A.-B.","Östra Lövsta",NA,NA,NA,NA,NA,NA,"220",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Oster-Lovsta El. A.-B.","Östra Lövsta","Ab. fran Alvkarleby kraftverk","","","","3-fas","50","20000/3000/220","150 100","32","355","435","169","4","608","2616","113 170"
"11","Lanforsens kraftverks bygg- nad","Alvkarleby",">> "" ""","","","","","50","20000/","400","-","","144","14","33","191","-","133 086"
"12","A.-B. Marma el.-verk","","","","","","","50","20000/1500/220","60","4","58","27","22","3","52","300","26 614"
"13","A.-B. Mehede el.-verk","Tierp","","-","","","","50","20000/1500/220","90","10","78","39","22","1","62","120","28 721"
"14","Söderfors Bruks A.-B.","Söderfors","(Söderfors (Ab. fran Alvkarleby kraftverk","V","4'5","080","","50","20000/",".","13","9 685","2 600","295","5 673","8 568","-","25 522 239"
"15","Distributionen i Langvik","",""" Söderfors bruk","","","","""","50","20000/",".","-","",".",".","",".","235","."
"16","i Untra","","","","","","","50","20000/3000/","","",".","",".","","","-",""
"17","Angsbolagets el. distr.-fören.","Söderfors, Tierp","Alvkarleby kraftverk","","","","","50","20000/3000/220","65","8","50","81","16","-","97","280","29 413"
"18","A.-B. Tierps el.-verk","Tierp","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Tolfta El. A.-B.","Tolfta","Tierps el.-verk","","","","","50 50","20000/3000/220 20000/3000/220",".","2","500","730","86","54","870","","372470"
"20","Tierps el. distr.-fören.","Tierp","Alvkarleby kraftverk","","","","","50","20000/1500/220","120","34","201","450","86","9","545","3 330","140 843"
"21","Stromsbergs bruk","","Husby","V","","75","""","50","1500/220","-",".",".",".",".","",".","",""
"22","Tierps södra el. distr.-fören.","","Ab. frân Alvkarleby kraftverk","","","","""","50","20000/3000/220","100","29","95","113","36","4","153","1 620","58 166"
"23","Alvkarleby kraftverk Sekundärstationen i Dan- nemora","Dannemora","","","","","","50","70000/20000/3000","","","","","","","","",""
"24","Films el. distr.-fören","Film","Ab. frán Alvkarleby kraftverk","","","","","50","3000/220","","13","77","45","21","","66","532","28 620"
"25","Dannemora sockens el. distr.- fören.","Dannemora","","-","","","","50","3000/220","","14","45","31","22","2","55","684","20 478"
"26","Dannemora gruvintressenter","Dannemora","Ab.fran Älvkarleby kraftverk","","","","3-fa","50","20000","","2","1500","1070","87","91","1248","-","1 425 722"
"27","Gimo-Osterby Bruks A.-B.","Film","","","","","","50","20000/500/220","","4 4","2600 18","1850 20","143 10","360 2","2 353 32","250 155","1 847392 6 282"
