"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'135 ","'Ostra Vram s:n ","'Trobro Gard, Östra Vram ","'Vatten- turbin ","'5 ","'17 ","'3 ","'Likstrom ","'","'220 ","'- ","'Gards- ","'220 ","'- ","'- ","'2 ","'100 ","'- ","'1 ","'2 ","'1919 ","'1 ",
"'136 ","'Kopinge s:n ","'Kopinge, Asums och Hovby Andelselektri- citetsförening, Glirds Kopinge ","'","'","'- ","'","'","'","'","'","'Bygde-- Orts- Gârds- ","'20 000 1500 220 ","'- ","'","'","'","'","'","'","'","'",
"'137 ","'Östra Sonnarslov s:n ","'Maltesholms Cement A.-B., Tollarp ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'Trefas ","'50 ","'40000 ","'(1110) ","'Gards- ","'500 & 190 ","'1 ","'43 ","'1 282 ","'50 ","'- ","'4500 ","'1060 ","'1907 ","'2 ",
"'138 ","'Everod s:n ","'Everods Andelselektrici- tetsforening, Everod ","'Ab. fr. ","'A.-B. ","'Vittskovle, ","'Vittskovle ","'- ","'- ","'","'","'- ","'- ","'- ","'- ","'","'- ","'","'- ","'- ","'","'",
"'139 ","'Vittskövle s:n ","'A.-B. Vittskövle, Vitt- ","'Ab. fran ","'Sydsvenska ","'","'Kraft A.-B., ","'- ","'- ","'20000 ","'","'","'- ","'- ","'326 ","'345 ","'350 ","'2500 ","'290 ","'130 ","'1910 ","'300 ",
"'","'","'skövle ","'Karlshamn Ang- ","'325 ","'","'160 ","'Trefas ","'50 ","'2600 ","'125 ","'Orts- ","'2600 ","'48 ","'","'","'","'","'","'","'","'",
"'","'","'","'maskin Angturbin ","'45 ","'- ","'28 ","'","'","'190 ","'","'Gards- ","'190 ","'32 ","'","'","'","'","'","'","'","'",
"'140 ","'Albo härad: Brosarp s:n ","'Bengtemölla Elektrici- tetsverk, Brosarp ","'Vattenhjul ","'10 ","'- ","'2 ","'Likstrom ","'- ","'110 ","'- ","'Gards. ","'110 ","'- ","'- ","'1 ","'15 ","'- ","'1 ","'1 ","'","'",
"'141 ","'Vitaby s:n ","'Ryadals Elektricitets- verk, Vitaby ","'Vatten- turbin ","'18 ","'- ","'10 ","'","'- ","'110 ","'- ","'Gards- ","'110 ","'- ","'- ","'8 ","'30 ","'- ","'3 ","'8 ","'","'10 ",
"'142 ","'Ingelstad härad: Tranas s:n ","'Tranas Kvarn och Elek- tricitetsverk, Skane- Tranas ","'Vattenhjul ","'10 ","'2 ","'5 ","'Likstrom ","'","'110 ","'","'Gards. ","'110 ","'1 ","'- ","'4 ","'","'","'2 ","'3 ","'1915 ","'5 ",
"'143 ","'Tryde s:n ","'Sydsvenska Kraft A.-B., Karlshamn, Linjerna mot Horby, Kristine- berg och Ystad ","'","'","'- ","'","'Trefas ","'50 ","'40000 ","'","'Lands- Bygde- ","'50000 20 000 ","'4.5 4 ","'- ","'","'","'","'","'- ","'1914- 1920 ","'50 ",
"'144 ","'","'Sydsvenska Kraft A.-B., Karlshamn, Linjen Tomelilla-Simrishamn -Glemminge ","'","'","'","'","'","'50 ","'20 000 ","'830 ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'67 68 25 ","'200 ","'1926 ","'1940 ","'7 386 ","'540 ","'330 ","'1914 ","'550 ",
"'145 ","'Tryde s:n ","'Salshög-Everods Elek- triska forening ","'Ab. fran tricitetsverk ","'Tomelilla ","'Municipala ","'Elek- ","'","'50 ","'20 000 ","'150 ","'Bygde- Orts- Gards- ","'20000 1500 220 ","'2 8 4 ","'45 ","'255 ","'72 ","'900 ","'40 ","'26 ","'1918 ","'125 ",
"'146 ","'Tomelilla m:e ","'Tomelilla Municipala Elektricitetsverk ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'20 000 ","'485 ","'Orts- Gards- ","'3 000 220 ","'3 6 ","'445 ","'771 ","'- ","'- ","'740 ","'220 ","'1915 ","'110 ",
"'147 ","'Smedstorp s:n ","'Gardslosa Elektricitets- forening, Smedstorp ","'","'","'","'","'","'","'","'- ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'","'- ","'","'","'","'","'","'","'",
"'148 ","'m:e ","'Smedstorps Andelselek- tricitetsforening, Smedstorp ","'","'","'","'","'","'","'","'- ","'Bygde- Orts. Gards- ","'20000 1500 220 ","'- ","'","'","'- ","'","'","'","'","'",
"'149 ","'Ovraby s:n ","'Sydsvenska Kraft A.-B., Karlshamn, Linjen Tomelilla-Ovrabyborg -Tosterup ","'","'","'","'","'Trefas ","'50 ","'20 000 ","'50 ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'6 4 ","'30 ","'100 ","'80 ","'800 ","'25 ","'50 ","'1920 ","'40 ",
"'150 ","'Hammenhog s:n ","'Hammenhögs Andels- elektricitetsforening, Hammenhog ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20000 1500 220 ","'","'","'","'","'","'","'","'","'",
"'151 ","'Glemminge sin ","'Glemmingeortens An- delselektricitetsfor- ening, Glemmingebro ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'","'","'","'","'","'","'","'1918 ","'",
