"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'91 ","'","'Hokons Andelselektrici- tetsförening, Hokon ","'","'","'","'","'","'","'","'- ","'Lands- Orts- Gards- ","'40000 1500 220 ","'","'","'- ","'- ","'","'","'","'","'",
"'92 ","'Osby s:n ","'Fyra smärre elektrici- tetsverk vid befintliga industriella vatten- kraftanläggningar ","'Vatten- turbiner ","'","'","'e:a 30 ","'Likstrom ","'- ","'110 & 120 ","'- ","'Gards- ","'220 ","'1 ","'- ","'40 ","'100 ","'","'30 ","'30 ","'1917 ","'10 ",
"'93 ","'m:e ","'Osby Municipala Elek- tricitetsverk, Osby ","'Ab. fran Karlshamn ","'Sydsvenska ","'Kraft ","'A.-B., ","'Trefas ","'50 ","'20 000 ","'275 ","'Orts- Gards- ","'3 000 220 ","'5 3 ","'255 ","'368 ","'- ","'- ","'233 ","'125 ","'1916 ","'70 ",
"'94 ","'Glimakra s:n ","'Källtorpsortens Andels. elektricitetsforening. Glimakra ","'","'","'","'","'- ","'","'","'- ","'Bygde- Orts- Gards- ","'20000 1500 220 ","'- ","'- ","'- ","'","'","'","'","'","'",
"'95 ","'","'Glimakra Andelselektri- eitetsförening, Glim- âkra ","'","'","'- ","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'- ","'- ","'","'","'","'","'","'",
"'96 ","'","'Fyra smärre elektrici- tetsverk vid befintliga kvarnar och sagar ","'Vatten- turb. och vattenhjul ","'","'6-2 ","'15 ","'Likstrom ","'","'220 110 ","'- ","'Gards- ","'220 ","'2 ","'- ","'10 ","'40 ","'30 ","'3 ","'10 ","'1917 ","'15 ",
"'97 ","'Örkene s:n ","'Lönsboda Andelselektri- citetsforening, Lons- boda ","'","'","'- ","'- ","'","'","'","'","'Lands- Orts- Gards- ","'40000 1500 220 ","'- ","'","'- ","'","'","'","'","'","'",
"'98 ","'","'Tommaboda kvarn och sãg, Lonsboda ","'Vatten- turbin ","'5 ","'3 ","'4 ","'Likstrom ","'","'220 ","'- ","'- ","'- ","'- ","'- ","'4 ","'- ","'20 ","'1 ","'4 ","'1917 ","'",
"'99 ","'Hästveda s:n ","'Hästveda Andelselektri- citetsförening ","'","'- ","'- ","'- ","'","'","'","'","'Lands- Orts- Gards- ","'20 000 1500 ","'- ","'- ","'","'- ","'","'","'","'","'",
"'100 ","'Ostra Broby s:n ","'Östan& fabriksaktiebo- lag, Glimminge ","'Vatten- turbin Ang- maskin ","'820 60 ","'5 ","'80 ","'Likstrom ","'","'220 ","'","'Gârds- ","'220 220 ","'3 ","'- ","'110 ","'600 ","'- ","'150 ","'70 ","'1904 ","'10 ",
