"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'82 ","'Hässleholm stad. ","'Stattena Elektriska Ener- giförening, Hässleholm ","'Ab. fran citetsverk, ","'Hassleholms ","'stads Hassleholm ","'elektri- ","'Trefas ","'50 ","'6 000 ","'- ","'Orts- Gards- ","'000 500 & 220 ","'0'6 & & 1'4 ","'20 1 ","'10 ","'30 ","'- ","'21 ","'10 ","'1919 ","'17 ",
"'83 ","'Bronnestad s:n ","'Sösdala Kraftbolag, Sös- dala ","'Vatten- turbin ","'200 ","'21 ","'190 ","'","'50 ","'6 000 230 ","'50 ","'Orts- Gards- ","'6 000 & 1500 380 & 220 ","'19 & 3 3 & 9 ","'190&40 ","'200 ","'200 ","'650 ","'130 ","'150 ","'1917 ","'250 ",
"'84 ","'Tjörnarp s:n ","'Tjornarps Kraftbolag, Tjörnarp ","'Vatten- turbin Lokomobil ","'20 40 ","'7'6 ","'15 ","'","'50 ","'380 ","'5 ","'Orts- Gards- ","'1500 380 ","'1.7 1.2 ","'8 ","'12 ","'20 ","'52 ","'5 ","'10 ","'1919 ","'35 ",
"'85 ","'Ignaberga s:n ","'A.-B. Ignaberga Kalk- sten, Ignaberga ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'6 000 ","'- ","'Orts- GArds- ","'6 000 500 & 190 ","'1:4 2 & 1 ","'145 6 ","'210 ","'40 ","'- ","'150 ","'100 ","'1919 ","'5 ",
"'86 ","'","'Tva smärre elektricitets- verk vid Troedstorps sãg och Gulastorps kyarn ","'Vatten- turbin och vattenhjul ","'","'","'4 ","'Likstrom ","'","'220 ","'- ","'Gards. ","'220 ","'1 ","'- ","'1.5 ","'30 ","'- ","'1 ","'2 ","'1918 ","'3 ",
"'87 ","'Vinslovs m:e ","'Vinslovs Municipala Elektricitetsverk, Vins- lov ","'Ab. fran Karlshamn ","'Sydsvenska ","'Kraft ","'A.-B., ","'Trefas ","'50 ","'6000 ","'- ","'Orts- Gards- ","'6 000 220 ","'3 8 ","'181 ","'92 ","'200 ","'- ","'105 ","'69 ","'1905 ","'60 ",
"'88 ","'Önnestad s:n ","'Onnestads Andelselektri- citetsforening, Onne- stad ","'","'D:o ","'d:o ","'","'","'50 ","'20 000 ","'50 ","'Orts- Gards. ","'1000 190 ","'5 7 ","'38 ","'214 ","'130 ","'1000 ","'160 ","'75 ","'1912 ","'50 ",
"'","'Ostra Goinge härad: ","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'89 ","'Loshult s:n ","'Sydsvenska Kraft A.-B., Karlshamn. Landslin- jen Lönsboda-Hökön ","'","'","'","'","'Trefas ","'50 ","'40000 ","'325 ","'Lands- Orts- Gards- ","'40000 1500 220 ","'30 3 3 ","'- ","'314 ","'42 ","'42 ","'86 ","'200 ","'1919 ","'300 ",
"'90 ","'","'Killebergs Andelselektri- citetsförening, Kille- berg ","'","'","'","'","'","'","'","'- ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'","'- ","'- ","'","'- ","'","'","'","'",
