"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'37 ","'Kallna s:n ","'Stora Molla Kvarn, Källna ","'Vatten- turbin ","'50 ","'6 ","'40 ","'Likstrom ","'- ","'220 ","'- ","'- ","'- ","'- ","'- ","'20 ","'50 ","'- ","'50 ","'20 ","'1916 ","'20 ",
"'38 ","'Östra Ljungby s:n ","'Östra Ljungbyortens Elektriska Andelsför- ening, Ostra Ljungby ","'","'","'- ","'- ","'","'","'","'","'- ","'- ","'- ","'","'","'","'","'- ","'","'","'",
"'39 ","'","'A.-B. Fettindustri, Stids vig ","'Vatten- turbin ","'180 ","'6 ","'150 ","'Trefas ","'50 ","'500 ","'","'Orts- Gards- ","'500 220 ","'1 1 ","'15 ","'120 ","'- ","'- ","'500 ","'100 ","'1919 ","'5 ",
"'40 ","'","'Tva smärre elektricitets- verk vid Kopparmöllan och Ostra Ljungby Valskvarn ","'Vatten- turbiner ","'","'- ","'6 & 1.5 ","'Likstrom ","'-- ","'230 & 110 ","'","'- ","'- ","'- ","'- ","'2 ","'- ","'- ","'1 ","'2 ","'1917 ","'- ",
"'41 ","'Rya s.n ","'Ekets Elektriska Energi- forening, Eket ","'Ab. fran ","'Örkelljunga Elektricitetsverk, ","'Orkelljunga ","'Municipala ","'Trefas ","'50 ","'000 ","'20 ","'Bygde- Orts- Gards- ","'20 000 1500 380 ","'3 8 8 ","'25 ","'58 ","'500 ","'","'25 ","'10 ","'1919 ","'100 ",
"'42 ","'Örkelljunga m:e ","'Örkelljunga Municipala Elektricitetsverk, Ör- kelljunga ","'Ab. fran Malmo ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'20 000 ","'90 ","'Bygde- Gards- ","'20 000 220 ","'7 4 ","'- ","'100 ","'30 ","'- ","'50 ","'50 ","'1914 ","'50 ",
"'43 ","'s:n ","'Kyrkolycke Energifor- ening, Orkelljunga ","'Ab. fran ","'Örkelljunga Elektricitetsverk, ","'Orkelljunga ","'Municipala ","'","'50 ","'20 000 ","'10 ","'Gärds- ","'380 ","'4 ","'- ","'14 ","'75 ","'- ","'6 ","'10 ","'1918 ","'35 ",
"'44 ","'","'Harbäckshults Energiför- ening, Orkelljunga ","'","'D:o ","'d:o ","'","'","'50 ","'20 000 ","'10 ","'Bygde- Gards- ","'20 000 380 ","'3 4 ","'- ","'17 ","'170 ","'1 ","'6 ","'10 ","'1919 ","'35 ",
"'45 ","'","'Asljunga Elektricitets- verk, Asljunga ","'","'D:o ","'d:o ","'","'","'50 ","'20 000 ","'20 ","'Bygde- Gards- ","'20 000 380 ","'6 5 ","'- ","'37 ","'200 ","'- ","'12 ","'20 ","'1919 ","'60 ",
"'46 ","'","'Ringarps Energiförening, Orkelljunga ","'","'D:0 ","'d:o ","'","'","'50 ","'1500 ","'- ","'Orts- Gards- ","'1 500 380 ","'1'5 3.0 ","'10 ","'20 ","'150 ","'- ","'8 ","'15 ","'1917 ","'20 ",
