"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'47 ","'","'Ostra Ringarps Energi- forening, Orkelljunga ","'Ab. fran Orkelljunga ","'Ringarps ","'","'Energiförening, ","'","'50 ","'1500 ","'- ","'Orts- Gards ","'1500 880 ","'1.8 2'o ","'10 ","'15 ","'75 ","'- ","'6 ","'10 ","'1917 ","'20 ",
"'48 ","'","'Spangs Energiförening, Orkelljunga ","'","'D:o ","'d:o ","'","'","'50 ","'1500 ","'- ","'Orts- GArds- ","'1500 380 ","'3.5 2 ","'4 ","'12 ","'110 ","'- ","'5 ","'5 ","'1918 ","'35 ",
"'49 ","'Fagerhult s:n ","'Fagerhult-VärsjöEnergi fören., Asbo-Fagerhult ","'Ab. fran ","'Örkelljunga Elektricitetsverk, ","'Orkelljunga ","'Municipala ","'","'50 ","'20 000 ","'55 ","'Bygde- GArds- ","'20 000 380 ","'12 4 ","'- ","'40 ","'200 ","'- ","'15 ","'20 ","'1919 ","'115 ",
"'50 ","'Gramanstorp s:n. ","'Bjärsgards Gard, Grá- manstorp ","'Vattenhjul ","'10 ","'1 5 ","'7 ","'Likstrom ","'- ","'220 ","'- ","'","'- ","'- ","'- ","'2 ","'100 ","'- ","'1 ","'2 ","'1918 ","'- ",
"'51 ","'","'Gramanstorp Elektrici- tetsfor., Gramanstorp ","'Ab. fran tricitetsverk, ","'Klippans ","'Municipala Klippan ","'Elek- ","'Trefas ","'50 ","'3 000 ","'- ","'Orts- Gards- ","'3 000 380 ","'3.0 8 ","'10 ","'14 ","'404 ","'- ","'8 ","'8 ","'1919 ","'30 ",
"'52 ","'Aby-Klippans m:e ","'Aby-Klippans Munici- pala Elektricitetsverk, Klippan ","'Ab. fran Malmo ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'20000 ","'540 ","'Bygde- Orts- Gards- ","'20000 3 000 220 ","'5 3 4 ","'158 ","'1070 ","'200 ","'400 ","'610 ","'300 ","'1910 ","'150 ",
"'53 ","'Vedby s:n ","'Ljunghuset-Sjöborgs Elektricitetsförening, Klippan ","'Ab. fran ","'Klippans Elektricitetsverk, ","'","'Municipala Klippan ","'","'50 ","'3 000 ","'- ","'Orta- Gards- ","'8 000 380 ","'2 2.5 ","'10 ","'6 ","'200 ","'","'8 ","'5 ","'1918 ","'10 ",
"'54 ","'","'Vedby Valskvarn, Klip- pan ","'Vatten- turbin ","'20 ","'3 ","'15 ","'Likstrom ","'","'2x220 ","'- ","'GArds ","'2x220 ","'1 ","'","'5 ","'10 ","'- ","'2 ","'5 ","'1918 ","'20 ",
"'55 ","'","'Svenningstorps Vals- kvarn, Hyllstofta ","'Vatten- turbin ","'80 ","'3 ","'20 ","'","'- ","'220 ","'- ","'Gards- ","'220 ","'4 ","'- ","'10 ","'100 ","'- ","'3 ","'8 ","'1918 ","'40 ",
"'56 ","'Oderljunga s:n ","'Oderljungaortens energi- forening, Perstorp ","'Ab. fran ","'Örkelljunga Elektricitetsverk, ","'Orkelljunga ","'Municipala ","'Trefas ","'50 ","'20 000 ","'45 ","'Bygde- Orts- Gards- ","'20 000 1500 380 ","'21 18 23 ","'65 ","'73 ","'1500 ","'- ","'40 ","'24 ","'1920 ","'275 ",
"'57 ","'Riseberga s:n ","'Föreningen Ljungbyhed- RostangaA ndelselektri- citetsverk, Ljungbyhed ","'Ab. fran tricitetsverk ","'Klippans ","'Municipala ","'Elek- ","'","'50 ","'20 000 ","'210 ","'Bygde. Gards- ","'0 000 500 & 220 samt 380 ","'20 24 & 5 ","'28 ","'370 ","'300 ","'1 000 ","'120 ","'80 ","'1914 ","'150 ",
"'58 ","'Perstorp s:n ","'Perstorps Sockens Elek- tricitetsförening, Pers- torp ","'Vatten- turbin ","'100 ","'7's ","'65 ","'","'50 ","'3 000 ","'- ","'Orts- Gards- ","'3 000 220 ","'5 5 ","'65 ","'74 ","'75 ","'","'35 ","'25 ","'1912 ","'170 ",
"'59 ","'","'Skanska Ättikfabriken, Perstorp ","'Gasmotor ","'120 120 ","'3 - ","'100 100 ","'","'50 ","'1500 220 ","'100 ","'Orts- Gards- ","'1500 220 ","'4 1 ","'40 ","'210 ","'- ","'30 ","'150 ","'100 ","'1916 ","'5 ",
